Unnamed: 0,BattleName,URL,StartDate,EndDate,Location,Outcome,Belligerents_Right,Belligerents_Left,Strength_Right,Strength_Left,Casualties and losses_Right,Casualties and losses_Left,StartDate_clean,EndDate_clean,casualties_dict_right,casualties_dict_left,strength_dict_right,strength_dict_left
11,Third Battle of the Aisne,https://en.wikipedia.org/wiki/Third_Battle_of_the_Aisne,27-May,6-Jun-18,"Aisne River near Paris, France49°23′N 3°44′E﻿ / ﻿49.383°N 3.733°E﻿ / 49.383; 3.733",See Aftermath section,France United Kingdom United States Italy,German Empire,"French 6th Army, British IX Corps, Italian II Corps[1] and later 2 American Divisions[Note 1]","German 1st and 7th Armies (over 20 divisions and 4,000 artillery guns)","127,000","130,000",5/27/1918,6/6/1918,{},{},{'american': [2.0]},"{'divisions': [20.0], 'artillery': [4000.0]}"
12,Second Battle of the Piave River,https://en.wikipedia.org/wiki/Battle_of_the_Piave_River,15,23-Jun-18,"Piave, Italy45°49′50″N 12°12′34″E﻿ / ﻿45.83056°N 12.20944°E﻿ / 45.83056; 12.20944",Allied victory,Italy United Kingdom  France  United States,Austria-Hungary,"57 divisions:[1]

 900,000 in 52 divisions (1 Czechoslovak division)
 ~40,000 in 3 divisions
 25,000 in 2 divisionsTotal: 965,000
5,650 guns1,570 mortars676 aircraft","58 divisions:[1]

 946,000
6,833 artillery pieces","87,181:[2]8,396 dead30,603 wounded48,182 captured","118,042:[2]11,643 dead80,852 wounded25,547 captured",6/15/1918,6/23/1918,"{'dead': [8396.0], 'wounded': [30603.0], 'captured': [48182.0]}","{'dead': [11643.0], 'wounded': [80852.0], 'captured': [25547.0]}","{'total': [965000.0], 'divisions': [57.0, 52.0, 3.0], 'troops': [900000.0, 40000.0, 25000.0], 'czechoslovak': [1.0], 'divisionstotal': [2.0], 'guns': [5650.0], 'mortars': [1570.0], 'aircraft': [676.0]}","{'divisions': [58.0], 'artillery': [6833.0]}"
13,Battle of Tanga,https://en.wikipedia.org/wiki/Battle_of_Tanga,3,5-Nov-14,"Tanga, German East Africa5°04′00″S 39°06′00″E﻿ / ﻿5.06667°S 39.10000°E﻿ / -5.06667; 39.10000",German victory,"German Empire

 German East Africa","British Empire

 India","250 (Initially)750 (Reinforcements)Total:1,000","4,000 (Initially)5,000 (Reinforcements)1 Astraea-class cruiserTotal:9,000",16 Germans killed[1] 55 Askaris killed[1] 76 Germans & Askaris wounded[1],360 killed[2]487 wounded[2]148 missing[3],11/3/1914,11/5/1914,"{'germans': [16.0, 76.0], 'askaris': [55.0]}","{'killed': [360.0], 'wounded': [487.0], 'missing': [148.0]}",{'total': [1000.0]},"{'total': [9000.0], 'astraea': [1.0]}"
14,Battle of Smorgon,https://en.wikipedia.org/wiki/Battle_of_Smorgon,15-Sep-15,"4 December 1917(2 years, 2 months, 2 weeks and 5 days)","Smarhon, Grodno Governorate, (present day Smarhon District, Grodno Region)",Russian victory,Russian Empire,German Empire,Initial: 4 cavalry battalions7 infantry battalionsFinal: 16 infantry divisions2 cavalry divisions~900 guns,6 infantry divisions4 cavalry divisions,,,9/15/1915,12/4/1917,{},{},"{'cavalry': [4.0, 2.0], 'infantry': [7.0, 16.0], 'guns': [900.0]}","{'infantry': [6.0], 'cavalry': [4.0]}"
15,Battle of Rufiji Delta,https://en.wikipedia.org/wiki/Battle_of_Rufiji_Delta,Oct-14,11-Jul-15,"Rufiji Delta, German East Africa (now Tanzania)7°52′6″S 39°14′24″E﻿ / ﻿7.86833°S 39.24000°E﻿ / -7.86833; 39.24000",British victory,German Empire,United Kingdom,1 light cruiser1 supply ship1 freighter (ex-British),1 pre-dreadnought4 cruisers2 monitorsvarious smaller craft1 blockship1 civilian & 9 naval aircraft,33 killed(mostly due to disease)1 light cruiser sunk1 supply ship sunk1 freighter sunk,"6 aircraft destroyed(1 civilian & 5 naval, mostly through attrition)",10/1/1914,7/11/1915,"{'killed': [33.0], 'light': [1.0], 'supply': [1.0], 'freighter': [1.0]}","{'aircraft': [6.0], 'civilian': [1.0], 'naval': [5.0]}","{'light': [1.0], 'supply': [1.0], 'freighter': [1.0]}","{'pre': [1.0], 'cruisers': [4.0], 'monitorsvarious': [2.0], 'blockship': [1.0], 'civilian': [1.0], 'naval': [9.0]}"
16,Battle of the Somme,https://en.wikipedia.org/wiki/Battle_of_the_Somme,1-Jul-16,"18 November 1916  (4 months, 2 weeks and 3 days)","Somme River, north-central Somme and south-eastern Pas-de-Calais Départements, France50°00′56″N 02°41′51″E﻿ / ﻿50.01556°N 2.69750°E﻿ / 50.01556; 2.69750",Inconclusive,"United Kingdom and Empire:
 Canada
 Australia
 New Zealand
 Egypt
 South Africa
 India
 Newfoundland
 Bermuda
 Rhodesia

 France",Germany,1 July 13 divisions 11 divisionsJuly–November 50 divisions 48 divisions,1 July 10 1⁄2 divisionsJuly–November 50 divisions,"c. 420,000[1](95,675	 killed or missing) c. 200,000[2](50,729 killed or missing)","c. 440,000[3]41,605 men captured by French[4]31,396 men captured by British[4]",7/1/1916,11/18/1916,"{'killed': [95675.0, 50729.0]}","{'men': [44000041605.0, 31396.0]}","{'divisions': [13.0, 50.0, 48.0], 'divisionsjuly': [11.0]}","{'divisionsjuly': [2.0], 'divisions': [50.0]}"
17,Battle of Tannenberg,https://en.wikipedia.org/wiki/Battle_of_Tannenberg_(1914),23,30-Aug-14,"Tannenberg, East Prussia, German Empire (present-day Poland)53°29′45″N 20°08′4″E﻿ / ﻿53.49583°N 20.13444°E﻿ / 53.49583; 20.13444",German victory,German Empire,Russian Empire,"150,000[1]294 machine guns728 guns and howitzers","123,000[2]–180,000[1]384 machine guns612 guns and howitzers","21–30 August:13,873+ [3]  • 1,726+ killed • 7,461 wounded •  4,686 missingOther estimate: about 30,000 dead and wounded[4][5][6][7]","70,000–120,219 killed, wounded or captured[8][9][10]

See casualties",8/23/1914,8/30/1914,"{'august': [30.0], 'wounded': [7461.0], 'missingother': [4686.0], 'dead': [30000.0]}",{'killed': [120219.0]},"{'machine': [150000294.0], 'guns': [728.0]}","{'machine': [123000.0, 180000384.0], 'guns': [612.0]}"
18,Battle of Viipuri,https://en.wikipedia.org/wiki/Battle_of_Viipuri,24,29 April 1918(5 days),"Viipuri, Finland",White victory,Finnish Whites,Finnish Reds,"18,500","5,000 in combat units",c. 400 killed,"c. 500 killed in action  c. 800 executed  11,350 captured",4/24/1918,4/29/1918,{'killed': [400.0]},"{'killed': [500.0], 'executed': [800.0], 'captured': [11350.0]}",{'troops': [18500.0]},{'troops': [5000.0]}
19,Battle of Nasiriyah (1915),https://en.wikipedia.org/wiki/Battle_of_Nasiriyah_(1915),27-Jun,25-Jul-15,"Nasiriyah, southern Iraq",British victory,"British Empire

 India",Ottoman Empire,"5,000","Around 5,000",104 killed429 wounded,"2,000 killed or wounded[1]1,000 taken prisoner17 field guns captured",6/27/1915,7/25/1915,"{'killed': [104.0], 'wounded': [429.0]}","{'killed': [2000.0], 'taken': [1000.0], 'field': [17.0]}",{'troops': [5000.0]},{}
20,Battle of Zanzibar,https://en.wikipedia.org/wiki/Battle_of_Zanzibar,20-Sep-14,20-Sep-14,"Off Zanzibar, Indian Ocean6°8′54″S 39°11′36″E﻿ / ﻿6.14833°S 39.19333°E﻿ / -6.14833; 39.19333",German victory,Germany,United Kingdom,Light cruiser Königsberg,Protected cruiser Pegasus Tugboat Helmuth,,39 killed  55 wounded  Pegasus sunk  Helmuth damaged,9/20/1914,9/20/1914,{},"{'killed': [39.0], 'wounded': [55.0]}",{},{}
21,Battle of Belleau Wood,https://en.wikipedia.org/wiki/Battle_of_Belleau_Wood,1,26-Jun-18,"Belleau Wood near Marne River, France49°04′23″N 3°17′24″E﻿ / ﻿49.073°N 3.290°E﻿ / 49.073; 3.290",Allied victory,United States   France United Kingdom,Germany,2 U.S. Army divisions (including 1 brigade of United States Marines)French 6th Army (elements)British IX Corps (elements),5 German divisions (elements),"9,777[1]: 33","10,000+ [1]: 33",6/1/1918,6/26/1918,{},{},"{'u': [2.0], 'brigade': [1.0]}",{'german': [5.0]}
22,Operation Michael,"https://en.wikipedia.org/wiki/Operation_Michael#Battle_of_St._Quentin,_21–23_March",21-Mar,5-Apr-18,Northern France,See Aftermath section,German Empire,"British Empire

 Australia
 Canada
 New Zealand
 United Kingdom
 France United States",72 divisions,26 divisions3 cavalry23 French divisions later,"239,800","254,816
: 177,739
: 77,000
: 77",3/21/1918,4/5/1918,{},{},{'divisions': [72.0]},"{'divisions': [26.0], 'cavalry': [3.0], 'french': [23.0]}"
23,Battle of Bucharest,https://en.wikipedia.org/wiki/Battle_of_Bucharest,29-Nov,6-Dec-16,"Bucharest, Romania",Central Powers victory,Romania Russian Empire,German Empire Bulgaria Austria-Hungary,"150,000","250,000","60,000 soldiers killed, wounded and missing85 artillery pieces115 machine guns[1][2]","10,000 soldiers",11/29/1916,12/6/1916,"{'soldiers': [60000.0], 'artillery': [85.0], 'machine': [115.0]}",{'soldiers': [10000.0]},{'troops': [150000.0]},{'troops': [250000.0]}
24,Battle of Albert (1916),https://en.wikipedia.org/wiki/Battle_of_Albert_(1916),1,13-Jul-16,"Somme, Picardy, France50°00′10″N 02°39′10″E﻿ / ﻿50.00278°N 2.65278°E﻿ / 50.00278; 2.65278",See the Aftermath section,"British Empire

 Bermuda
 Newfoundland
 South Africa
 United Kingdom
 France",German Empire,13 British divisions11 French divisions,6 divisions,"British, 1 July: 57,4702–13 July: 25,000French, 1 July: 1,5902–21 July: 17,600","1 July: 10,2001–10 July: 40,187–46,315",7/1/1916,7/13/1916,"{'july': [1.0, 13.0, 1.0, 21.0], 'french': [25000.0]}","{'july': [1.0, 10.0]}","{'british': [13.0], 'french': [11.0]}",{'divisions': [6.0]}
25,Battle of Es Sinn,https://en.wikipedia.org/wiki/Battle_of_Es_Sinn,28-Sep-15,28-Sep-15,Mesopotamia(present-day Iraq),British–Indian victory,"British Empire

 India
 United Kingdom",Ottoman Empire,6th (Poona) Division,"10,50013 guns",Unknown,Unknown,9/28/1915,9/28/1915,{},{},{},{'guns': [1050013.0]}
26,Second Battle of Krithia,https://en.wikipedia.org/wiki/Second_Battle_of_Krithia,6,8-May-15,"Krithia, Gallipoli, Ottoman Empire40°04′44″N 26°12′14″E﻿ / ﻿40.07889°N 26.20389°E﻿ / 40.07889; 26.20389",Ottoman victory,"British Empire

 New Zealand
 Australia
 United Kingdom
 France",Ottoman Empire,"25,000[2]72 guns","20,000[2]","6,500[1]","2,000",5/6/1915,5/8/1915,{},{},{'guns': [2500072.0]},{'troops': [20000.0]}
27,Battle of Grand Couronné,https://en.wikipedia.org/wiki/Battle_of_Grand_Couronn%C3%A9,4,13-Sep-14,"Grand Couronné (Great Crown), Meurthe-et-Moselle, France48°44′33″N 06°20′52″E﻿ / ﻿48.74250°N 6.34778°E﻿ / 48.74250; 6.34778",French victory,French Republic,"German Empire
 Bavaria",2nd Army,6th Army,,"c. 30,000",9/4/1914,9/13/1914,{},{},{},{}
28,Battle of Megiddo (1918),https://en.wikipedia.org/wiki/Battle_of_Megiddo_(1918),19,25-Sep-18,Vilayet of Beirut32°24′00″N 34°52′59″E﻿ / ﻿32.400°N 34.883°E﻿ / 32.400; 34.883,Allied victory,"British Empire

 United Kingdom
 India
 Australia
 New Zealand
 South Africa
 Hejaz France","Ottoman Empire
 German Empire","Allied
57,000 infantry
12,000 mounted troops
540 guns[1]
Arab
4,000+ regulars
unknown no. irregulars","32,000 infantry
3,000 mounted troops
402 guns[1]","782 killed
382 missing
4,179 wounded","Destruction or surrender of Ottoman forces
Only 6,000 escaped capture[2]",9/19/1918,9/25/1918,"{'killed': [782.0], 'missing': [382.0], 'wounded': [4179.0]}",{'escaped': [6000.0]},"{'infantry': [57000.0], 'mounted': [12000.0], 'guns': [540.0]}","{'infantry': [32000.0], 'mounted': [3000.0], 'guns': [402.0]}"
29,Battle of Kolubara,https://en.wikipedia.org/wiki/Battle_of_Kolubara,16-Nov,15-Dec-14,"Kolubara river, Kingdom of Serbia44°22′56″N 20°15′46″E﻿ / ﻿44.38222°N 20.26278°E﻿ / 44.38222; 20.26278",Decisive Serbian victory,Serbia,Austria-Hungary,"400,000","450,000","Total: 132,000 
22,000 killed
91,000 wounded
19,000 missing or captured","Total: 273,000 
30,000 killed
173,000 wounded
70,000 captured",11/16/1914,12/15/1914,"{'total': [132000.0], 'killed': [22000.0], 'wounded': [91000.0], 'missing': [19000.0]}","{'total': [273000.0], 'killed': [30000.0], 'wounded': [173000.0], 'captured': [70000.0]}",{'troops': [400000.0]},{'troops': [450000.0]}
30,Battle of Liège,https://en.wikipedia.org/wiki/Battle_of_Li%C3%A8ge,5,16-Aug-14,"Liège, Belgium",See Aftermath section,Germany,Belgium,"28,900–31,200 troops 140 guns[1]","32,000 troops 280 guns.[2][3]","3,300 (by 8 August)[4]","6,000–20,000 casualtiesincluding 4,000 captured",8/5/1914,8/16/1914,{'august': [8.0]},"{'casualtiesincluding': [20000.0], 'captured': [4000.0]}","{'troops': [28900.0, 31200.0], 'guns': [140.0]}","{'troops': [32000.0], 'guns': [280.0]}"
31,Battle of Verdun,https://en.wikipedia.org/wiki/Battle_of_Verdun,21-Feb,"18 December 1916(9 months, 3 weeks and 6 days)","Verdun, France49°12′29″N 5°25′19″E﻿ / ﻿49.20806°N 5.42194°E﻿ / 49.20806; 5.42194",French victory,Germany,France,c. 50 divisions,75 divisions,"336,000–355,000 casualties

c. 143,000 dead","379,000–400,000 casualties

163,000 dead
216,000 wounded",2/21/1916,12/18/1916,"{'casualties': [355000.0], 'dead': [143000.0]}","{'casualties': [400000.0], 'dead': [163000.0], 'wounded': [216000.0]}",{'divisions': [50.0]},{'divisions': [75.0]}
32,Battle of Augustów (1914),https://en.wikipedia.org/wiki/Battle_of_August%C3%B3w_(1914),12,30-Sep-14,"Augustów, Russian Poland (present-day Poland)",Russian victory[1],Russian Empire,German Empire,"247,467[2][a]","129,814[4]","20,000[5]",Very heavy[5][6],9/12/1914,9/30/1914,{},{},{'troops': [247467.0]},{'troops': [129814.0]}
33,Battle of the Lys (1918),https://en.wikipedia.org/wiki/Battle_of_Estaires,7,29 April 1918 (1918-04-07,"Flanders, Belgium to northeast France50°42′20″N 2°54′00″E﻿ / ﻿50.70556°N 2.90000°E﻿ / 50.70556; 2.90000",See Analysis section,"United Kingdom
    Australia
    Canada
    Newfoundland
    New Zealand
    South Africa
 France
 Portugal
 Belgium
 United States
[1]",Germany,Unknown,"35 divisions (~612,500)","118,300–119,040 118 guns60 aircraft","86,000–109,300 8 aircraft including the Red Baron",4/7/1918,4/29/1918,"{'guns': [118.0], 'aircraft': [60.0]}",{'aircraft': [8.0]},{},{'divisions': [35.0]}
34,Battle of the Scarpe (1918),https://en.wikipedia.org/wiki/Battle_of_the_Scarpe_(1918),26,30-Aug-18,"Monchy-le-Preux, France50°16′14″N 02°53′39″E﻿ / ﻿50.27056°N 2.89417°E﻿ / 50.27056; 2.89417",Canadian Corps victory,"British Empire

 Canada",German Empire,,,": 5,500 casualties[1]","Canadians captured 3,300 prisoners, 53 guns and 519 machine guns",8/26/1918,8/30/1918,{'casualties': [5500.0]},"{'prisoners': [3300.0], 'guns': [53.0], 'machine': [519.0]}",{},{}
35,Battle of Florina,https://en.wikipedia.org/wiki/Battle_of_Florina,17,28-Aug-16,"around Florina, Greece",Minor Bulgarian victory The Bulgarians capture Florina Bulgarian advance stopped,Bulgaria,Serbia,"117,368
190 field guns
128 machine guns","124,000","5,478 killed/wounded
Total: 5,478[1]","657 killed
2,555 wounded
706 missing
Total: 3,918[1]",8/17/1916,8/28/1916,{'total': [5478.0]},"{'total': [3918.0], 'killed': [657.0], 'wounded': [2555.0], 'missing': [706.0]}","{'field': [190.0], 'machine': [128.0]}",{'troops': [124000.0]}
36,Battle of Pozières,https://en.wikipedia.org/wiki/Battle_of_Pozi%C3%A8res,23-Jul,3-Sep-16,"Pozières, Somme, France50°2′42″N 2°44′10″E﻿ / ﻿50.04500°N 2.73611°E﻿ / 50.04500; 2.73611",Australian victory,"British Empire

 Australia
 United Kingdom",German Empire,,,,,7/23/1916,9/3/1916,{},{},{},{}
37,Second Battle of Mons,https://en.wikipedia.org/wiki/Second_Battle_of_Mons,9,11-Nov-18,"Mons, Belgium",Allied victory,Canada,German Empire,,,"280 killed, wounded, or missing",Unknown,11/9/1918,11/11/1918,{'killed': [280.0]},{},{},{}
38,Battle of Bitlis,https://en.wikipedia.org/wiki/Battle_of_Bitlis,Jul-15,Aug-16,"Bitlis Vilayet, Ottoman Empire",Russian victory[2][3][4],"Russian Empire

Armenian volunteer units
Assyrian volunteers[1]","Ottoman Empire

Kurdish tribesmen",Russian Caucasus ArmyArmenian Fedayi,Second ArmyKurdish Tribesmen,Unknown,"34,000 captured or killed[4]",7/1/1915,8/1/1916,{},{'captured': [34000.0]},{},{}
39,Battle of Syrjäntaka,https://en.wikipedia.org/wiki/Battle_of_Syrj%C3%A4ntaka,28,29 April 1918(1 day),"Tuulos, Finland",Red breakthrough,German Empire,Finnish Reds,c. 400,"c. 4,000–5,000",48 killed,c. 300 killed  c. 150 captured,4/28/1918,4/29/1918,{'killed': [48.0]},"{'killed': [300.0], 'captured': [150.0]}",{},{}
40,Second Battle of the Isonzo,https://en.wikipedia.org/wiki/Second_Battle_of_the_Isonzo,18-Jul,3-Aug-15,"Soča river, northwest Slovenia",Italian tactical victory,Italy,Austria-Hungary,"250,000[1]","78,000[1]","41,800 losses[1]","46,600 losses[1]",7/18/1915,8/3/1915,{'losses': [41800.0]},{'losses': [46600.0]},{'troops': [250000.0]},{'troops': [78000.0]}
41,Battle of Jutland,https://en.wikipedia.org/wiki/Battle_of_Jutland,31-May,1-Jun-16,"North Sea, near Denmark56°42′N 5°54′E﻿ / ﻿56.700°N 5.900°E﻿ / 56.700; 5.900","Inconclusive, see § Outcome",United Kingdom,Germany,"Total: 151 combat ships
28 dreadnought battleships
9 battlecruisers
8 armoured cruisers
26 light cruisers
78 destroyers
1 minelayer
1 seaplane carrier","Total: 99 combat ships
16 dreadnought battleships
5 battlecruisers
6 pre-dreadnought battleships
11 light cruisers
61 torpedo-boats[a]","6,094 killed
674 wounded
177 captured
3 battlecruisers sunk
3 armoured cruisers sunk
8 destroyers sunk
(113,300 tons sunk)[1]","2,551 killed
507 wounded
1 battlecruiser sunk
1 pre-dreadnought battleship sunk
4 light cruisers sunk
5 torpedo-boats sunk
(62,300 tons sunk)[1]",5/31/1916,6/1/1916,"{'killed': [6094.0], 'wounded': [674.0], 'captured': [177.0], 'battlecruisers': [3.0], 'armoured': [3.0], 'destroyers': [8.0], 'tons': [113300.0]}","{'killed': [2551.0], 'wounded': [507.0], 'battlecruiser': [1.0], 'pre': [1.0], 'light': [4.0], 'torpedo': [5.0], 'tons': [62300.0]}","{'total': [151.0], 'combat': [151.0], 'dreadnought': [28.0], 'battlecruisers': [9.0], 'armoured': [8.0], 'light': [26.0], 'destroyers': [78.0], 'minelayer': [1.0], 'seaplane': [1.0]}","{'total': [99.0], 'combat': [99.0], 'dreadnought': [16.0], 'battlecruisers': [5.0], 'pre': [6.0], 'light': [11.0], 'torpedo': [61.0]}"
42,Battle of Valenciennes (1918),https://en.wikipedia.org/wiki/Battle_of_Valenciennes_(1918),28 October - 2 November 1918,28 October - 2 November 1918,"Valenciennes, France",Canadian victory,Canada,Germany,,,Unknown,"800 dead1,800 surrendered[1]",10/28/1918,11/2/1918,{},"{'dead': [800.0], 'surrendered': [1800.0]}",{},{}
43,Battle of Dujaila,https://en.wikipedia.org/wiki/Battle_of_Dujaila_Redoubt,8-Mar-16,8-Mar-16,"East of Kut, present-day Iraq32°29′17″N 45°57′14″E﻿ / ﻿32.488°N 45.954°E﻿ / 32.488; 45.954",Ottoman victory,"British Empire

 India
 United Kingdom","Ottoman Empire

 German Empire (military commanders)","18,891 infantry1,268 Cavalry68 artillery pieces","8,500 infantry1,500 cavalry32 artillery pieces","4,000 casualties[1]","1,290 casualties[1]",3/8/1916,3/8/1916,{'casualties': [4000.0]},{'casualties': [1290.0]},"{'infantry': [18891.0], 'cavalry': [1268.0], 'artillery': [68.0]}","{'infantry': [8500.0], 'cavalry': [1500.0], 'artillery': [32.0]}"
44,Battle of Hill 60 (Gallipoli),https://en.wikipedia.org/wiki/Battle_of_Hill_60_(Gallipoli),21,29-Aug-15,"Gallipoli, Ottoman Empire40°16′21″N 26°17′35″E﻿ / ﻿40.2726°N 26.2931°E﻿ / 40.2726; 26.2931",Ottoman victory,"British Empire

 Australia
 India
 New Zealand
 United Kingdom",Ottoman Empire,"4,000[1]",Unknown,"1,100[2]",Unknown,8/21/1915,8/29/1915,{},{},{'troops': [4000.0]},{}
